tempo_ns,elevador,evento,andar,estado,pronto
5,E1,MOVIMENTO,0,0,0
5,E2,MOVIMENTO,0,0,0
5,E3,MOVIMENTO,0,0,0
255,E1,ESTADO,0,1,0
1255,E1,MOVIMENTO,1,1,0
2255,E1,MOVIMENTO,2,1,0
3255,E1,MOVIMENTO,3,1,0
4255,E1,MOVIMENTO,4,1,0
5255,E1,MOVIMENTO,5,1,0
5835,E1,ATENDIMENTO,5,1,1
6255,E1,MOVIMENTO,6,1,0
6295,E1,ESTADO,6,2,0
6385,E2,ESTADO,0,1,0
6385,E3,ESTADO,0,1,0
7255,E1,MOVIMENTO,5,2,0
7385,E2,MOVIMENTO,1,1,0
7385,E3,MOVIMENTO,1,1,0
7835,E1,ATENDIMENTO,5,2,1
8255,E1,MOVIMENTO,4,2,0
8385,E2,MOVIMENTO,2,1,0
8385,E3,MOVIMENTO,2,1,0
8965,E3,ATENDIMENTO,2,1,1
9255,E1,MOVIMENTO,3,2,0
9385,E2,MOVIMENTO,3,1,0
9385,E3,MOVIMENTO,3,1,0
9425,E3,ESTADO,3,2,0
9835,E1,ATENDIMENTO,3,2,1
10255,E1,MOVIMENTO,2,2,0
10295,E1,ESTADO,2,1,0
10385,E2,MOVIMENTO,4,1,0
10385,E3,MOVIMENTO,2,2,0
10965,E3,ATENDIMENTO,2,2,1
11255,E1,MOVIMENTO,3,1,0
11385,E2,MOVIMENTO,5,1,0
11385,E3,MOVIMENTO,1,2,0
11425,E3,ESTADO,1,1,0
11835,E1,ATENDIMENTO,3,1,1
12255,E1,MOVIMENTO,4,1,0
12295,E1,ESTADO,4,2,0
12385,E2,MOVIMENTO,6,1,0
12385,E3,MOVIMENTO,2,1,0
12965,E3,ATENDIMENTO,2,1,1
13255,E1,MOVIMENTO,3,2,0
13385,E2,MOVIMENTO,7,1,0
13385,E3,MOVIMENTO,3,1,0
13425,E3,ESTADO,3,2,0
13835,E1,ATENDIMENTO,3,2,1
13965,E2,ATENDIMENTO,7,1,1
14255,E1,MOVIMENTO,2,2,0
14295,E1,ESTADO,2,1,0
14385,E2,MOVIMENTO,8,1,0
14385,E3,MOVIMENTO,2,2,0
14425,E2,ESTADO,8,2,0
14965,E3,ATENDIMENTO,2,2,1
15255,E1,MOVIMENTO,3,1,0
15385,E2,MOVIMENTO,7,2,0
15385,E3,MOVIMENTO,1,2,0
15425,E3,ESTADO,1,1,0
15835,E1,ATENDIMENTO,3,1,1
15965,E2,ATENDIMENTO,7,2,1
15985,E2,ESTADO,7,1,0
16255,E1,MOVIMENTO,4,1,0
16385,E2,MOVIMENTO,8,1,0
16385,E3,MOVIMENTO,2,1,0
16965,E2,ATENDIMENTO,8,1,1
16965,E3,ATENDIMENTO,2,1,1
16985,E2,ESTADO,8,2,0
16985,E3,ESTADO,2,2,0
17255,E1,MOVIMENTO,5,1,0
17385,E2,MOVIMENTO,7,2,0
17385,E3,MOVIMENTO,1,2,0
17965,E2,ATENDIMENTO,7,2,1
17965,E3,ATENDIMENTO,1,2,1
17985,E2,ESTADO,7,1,0
17985,E3,ESTADO,1,1,0
18255,E1,MOVIMENTO,6,1,0
18385,E2,MOVIMENTO,8,1,0
18385,E3,MOVIMENTO,2,1,0
18965,E2,ATENDIMENTO,8,1,1
18965,E3,ATENDIMENTO,2,1,1
18985,E2,ESTADO,8,2,0
18985,E3,ESTADO,2,2,0
19255,E1,MOVIMENTO,7,1,0
19385,E2,MOVIMENTO,7,2,0
19385,E3,MOVIMENTO,1,2,0
19965,E2,ATENDIMENTO,7,2,1
19965,E3,ATENDIMENTO,1,2,1
19985,E2,ESTADO,7,1,0
19985,E3,ESTADO,1,1,0
20255,E1,MOVIMENTO,8,1,0
20385,E2,MOVIMENTO,8,1,0
20385,E3,MOVIMENTO,2,1,0
20965,E2,ATENDIMENTO,8,1,1
20965,E3,ATENDIMENTO,2,1,1
20985,E2,ESTADO,8,2,0
20985,E3,ESTADO,2,2,0
21255,E1,MOVIMENTO,9,1,0
21385,E2,MOVIMENTO,7,2,0
21385,E3,MOVIMENTO,1,2,0
21965,E2,ATENDIMENTO,7,2,1
21965,E3,ATENDIMENTO,1,2,1
21985,E2,ESTADO,7,1,0
21985,E3,ESTADO,1,1,0
22255,E1,MOVIMENTO,10,1,0
22385,E2,MOVIMENTO,8,1,0
22385,E3,MOVIMENTO,2,1,0
22835,E1,ATENDIMENTO,10,1,1
22855,E1,ESTADO,10,2,0
22965,E2,ATENDIMENTO,8,1,1
22965,E3,ATENDIMENTO,2,1,1
22985,E2,ESTADO,8,2,0
22985,E3,ESTADO,2,2,0
23255,E1,MOVIMENTO,9,2,0
23385,E2,MOVIMENTO,7,2,0
23385,E3,MOVIMENTO,1,2,0
23965,E2,ATENDIMENTO,7,2,1
23965,E3,ATENDIMENTO,1,2,1
23985,E2,ESTADO,7,1,0
23985,E3,ESTADO,1,1,0
24255,E1,MOVIMENTO,8,2,0
24385,E2,MOVIMENTO,8,1,0
24385,E3,MOVIMENTO,2,1,0
24965,E2,ATENDIMENTO,8,1,1
24965,E3,ATENDIMENTO,2,1,1
24985,E2,ESTADO,8,2,0
24985,E3,ESTADO,2,2,0
25255,E1,MOVIMENTO,7,2,0
25385,E2,MOVIMENTO,7,2,0
25385,E3,MOVIMENTO,1,2,0
25965,E2,ATENDIMENTO,7,2,1
25965,E3,ATENDIMENTO,1,2,1
25985,E2,ESTADO,7,1,0
25985,E3,ESTADO,1,1,0
26255,E1,MOVIMENTO,6,2,0
26385,E2,MOVIMENTO,8,1,0
26385,E3,MOVIMENTO,2,1,0
26965,E2,ATENDIMENTO,8,1,1
26965,E3,ATENDIMENTO,2,1,1
26985,E2,ESTADO,8,2,0
26985,E3,ESTADO,2,2,0
27255,E1,MOVIMENTO,5,2,0
27385,E2,MOVIMENTO,7,2,0
27385,E3,MOVIMENTO,1,2,0
27965,E2,ATENDIMENTO,7,2,1
27965,E3,ATENDIMENTO,1,2,1
27985,E2,ESTADO,7,1,0
27985,E3,ESTADO,1,1,0
28255,E1,MOVIMENTO,4,2,0
28385,E2,MOVIMENTO,8,1,0
28385,E3,MOVIMENTO,2,1,0
28965,E2,ATENDIMENTO,8,1,1
28965,E3,ATENDIMENTO,2,1,1
28985,E2,ESTADO,8,2,0
28985,E3,ESTADO,2,2,0
29255,E1,MOVIMENTO,3,2,0
29385,E2,MOVIMENTO,7,2,0
29385,E3,MOVIMENTO,1,2,0
29965,E2,ATENDIMENTO,7,2,1
29965,E3,ATENDIMENTO,1,2,1
29985,E2,ESTADO,7,1,0
29985,E3,ESTADO,1,1,0
30255,E1,MOVIMENTO,2,2,0
30385,E2,MOVIMENTO,8,1,0
